instance_id,mode,harness_resolved,harness_report,elapsed_sec_est,tokens_used,session_id,files_touched_in_patch,patch_add_lines,patch_del_lines,patch_bytes,codex_exec_count,file_update_count,apply_patch_count,rg_count,sed_count,git_cmd_count,log_file,patch_file,spec_file
sympy__sympy-11618,A,,,0.056029557,29595,019bdf8f-8338-72f2-bf40-be757246ee98,2,12,2,1394,10,7,2,5,5,8,ab_spec_study/runs/A/sympy__sympy-11618/output/agent_log.txt,ab_spec_study/runs/A/sympy__sympy-11618/output/patch.diff,
sympy__sympy-12096,A,,,0.064437613,12673,019bdf92-1496-7cc2-9b0e-be484842399b,2,8,1,1404,5,7,2,2,2,8,ab_spec_study/runs/A/sympy__sympy-12096/output/agent_log.txt,ab_spec_study/runs/A/sympy__sympy-12096/output/patch.diff,
sympy__sympy-12419,A,,,0.055962738,41525,019bdf93-bff1-7fb1-a1b8-11f2e02a1db5,2,11,5,1531,10,8,2,4,4,10,ab_spec_study/runs/A/sympy__sympy-12419/output/agent_log.txt,ab_spec_study/runs/A/sympy__sympy-12419/output/patch.diff,
sympy__sympy-12481,A,,,0.055948248,36932,019bdf96-be82-7f63-89b8-a0c48d1d863e,2,6,9,2422,15,11,4,7,8,13,ab_spec_study/runs/A/sympy__sympy-12481/output/agent_log.txt,ab_spec_study/runs/A/sympy__sympy-12481/output/patch.diff,
sympy__sympy-12489,A,,,0.055938393,10524,019bdf9a-8aeb-7c52-9ee3-eb98867e3cd4,1,7,7,1879,4,4,1,2,2,3,ab_spec_study/runs/A/sympy__sympy-12489/output/agent_log.txt,ab_spec_study/runs/A/sympy__sympy-12489/output/patch.diff,
sympy__sympy-13031,A,,,0.212393897,102991,019bdf9c-4893-7fe1-b7b9-06f9cc2488a0,2,18,4,1950,49,12,4,20,28,13,ab_spec_study/runs/A/sympy__sympy-13031/output/agent_log.txt,ab_spec_study/runs/A/sympy__sympy-13031/output/patch.diff,
sympy__sympy-13091,A,,,0.055912572,5916,019bdfaa-d5a1-7f90-a29d-13000df22958,1,1,1,477,4,4,1,3,1,3,ab_spec_study/runs/A/sympy__sympy-13091/output/agent_log.txt,ab_spec_study/runs/A/sympy__sympy-13091/output/patch.diff,
sympy__sympy-13372,A,,,0.066792811,3865,019bdff3-6585-70f3-837d-74e2142fbda6,1,4,0,772,2,4,1,1,1,3,ab_spec_study/runs/A/sympy__sympy-13372/output/agent_log.txt,ab_spec_study/runs/A/sympy__sympy-13372/output/patch.diff,
sympy__sympy-13480,A,,,0.041949961,2860,019bdff4-5bcf-7d23-906f-da305005d8d6,1,1,1,592,2,4,1,1,1,3,ab_spec_study/runs/A/sympy__sympy-13480/output/agent_log.txt,ab_spec_study/runs/A/sympy__sympy-13480/output/patch.diff,
sympy__sympy-20590,A,True,codex-A.A_codex_one.json,0.003997896,28155,019bdf62-4533-7613-bc03-6e976fa7dab4,2,2,0,868,16,7,2,8,7,8,ab_spec_study/runs/A/sympy__sympy-20590/output/agent_log.txt,ab_spec_study/runs/A/sympy__sympy-20590/output/patch.diff,
sympy__sympy-11618,B,,,67.157873971,18006,019bdff7-0bbf-7892-a841-b70781c65a2a,2,17,1,1605,6,7,2,2,4,8,ab_spec_study/runs/B/sympy__sympy-11618/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-11618/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-11618/output/spec.md
sympy__sympy-12096,B,,,52.032839679,4949,019bdff8-78fe-71f3-85d8-d027befae6ee,2,15,1,1497,5,7,2,3,2,8,ab_spec_study/runs/B/sympy__sympy-12096/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-12096/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-12096/output/spec.md
sympy__sympy-12419,B,,,64.989668793,19097,019bdffa-741e-71a1-b97c-2379622c3c18,2,13,6,1946,5,7,2,2,3,8,ab_spec_study/runs/B/sympy__sympy-12419/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-12419/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-12419/output/spec.md
sympy__sympy-12481,B,,,302.657503373,47662,019bdffd-796d-7cb0-a7ed-863253e0df0c,2,20,19,3209,15,7,2,8,6,8,ab_spec_study/runs/B/sympy__sympy-12481/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-12481/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-12481/output/spec.md
sympy__sympy-12489,B,,,167.880410105,15129,019be003-a042-7781-b7f8-9a5229ae872d,2,51,31,8524,9,9,2,3,5,11,ab_spec_study/runs/B/sympy__sympy-12489/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-12489/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-12489/output/spec.md
sympy__sympy-13031,B,,,88.080433814,25791,019be008-699e-7d22-b683-01489e27588f,2,13,0,1428,10,7,2,5,6,8,ab_spec_study/runs/B/sympy__sympy-13031/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-13031/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-13031/output/spec.md
sympy__sympy-13091,B,,,44.977314898,11059,019be00a-b5e2-7710-ba1f-98a260fe29f8,2,20,3,1618,4,7,3,2,2,8,ab_spec_study/runs/B/sympy__sympy-13091/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-13091/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-13091/output/spec.md
sympy__sympy-13372,B,,,38.151706975,16011,019be00c-cdf6-7371-b868-912f1b8d78ee,2,7,0,1266,4,9,3,2,2,10,ab_spec_study/runs/B/sympy__sympy-13372/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-13372/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-13372/output/spec.md
sympy__sympy-13480,B,,,52.614286297,9333,019be00d-ef99-78b2-a03f-d4d10d4b2d99,2,2,1,1081,5,9,2,3,3,10,ab_spec_study/runs/B/sympy__sympy-13480/output/fix_log.txt,ab_spec_study/runs/B/sympy__sympy-13480/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-13480/output/spec.md
sympy__sympy-20590,B,True,codex-B.B_codex_one.json,109.761471792,1597,019bdf74-1c0a-7932-a353-3a2e8602378e,2,5,0,868,14,7,2,6,8,8,ab_spec_study/runs/B/sympy__sympy-20590/output/agent_log.txt,ab_spec_study/runs/B/sympy__sympy-20590/output/patch.diff,ab_spec_study/runs/B/sympy__sympy-20590/output/spec.md
